model,problem,chunk_idx,n_chunks,rel_pos,in_degree,out_degree,n_descendants,frac_descendants,cf_kl,cf_acc,resamp_kl,overdet,tags
deepseek-r1-distill-llama-8b,problem_1591,23,101,0.23,0,0,0,0.0,1.050974130945576,-0.0027272727272726893,2.1683664583754365,0.30000000000000004,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,24,101,0.24,0,0,0,0.0,2.8590493800013412,0.2088888888888888,1.297410867633014,0.9,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,25,101,0.25,0,1,14,0.14,2.6550184362717153,-0.029999999999999916,2.1334875274252174,0.14,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,26,101,0.26,1,1,13,0.13,1.4012783557422799,-0.03160493827160493,1.4741520833080108,0.42000000000000004,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,27,101,0.27,2,1,12,0.12,1.7653215371095048,0.014137931034482798,1.36653327069099,0.26,active_computation
deepseek-r1-distill-llama-8b,problem_1591,28,101,0.28,1,1,13,0.13,1.195846927814804,0.02230769230769225,1.0952631246651903,0.27,active_computation
deepseek-r1-distill-llama-8b,problem_1591,29,101,0.29,1,1,12,0.12,0.24210200568237117,-0.20461538461538453,1.1863366840654201,0.6599999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_1591,30,101,0.3,2,1,11,0.11,0.5679788461758495,0.13222222222222224,0.5493912601205803,0.85,active_computation
deepseek-r1-distill-llama-8b,problem_1591,31,101,0.31,1,2,10,0.1,0.3632226790328929,0.29000000000000004,1.6919400143272665,0.91,active_computation
deepseek-r1-distill-llama-8b,problem_1591,32,101,0.32,1,0,0,0.0,0.2851290708932969,-0.003370786516853852,0.26412506122469764,0.26,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,33,101,0.33,0,1,1,0.01,2.2436397558416408,-0.042134831460674205,2.203491514731463,0.29000000000000004,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,34,101,0.34,2,1,1,0.01,2.488487506274136,0.1020550330895158,1.9792800412739175,0.5700000000000001,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,35,101,0.35,2,0,0,0.0,12.495361808908562,-0.21999999999999997,1.1609119218826633,0.1515151515151515,active_computation
deepseek-r1-distill-llama-8b,problem_1591,36,101,0.36,1,1,8,0.08,0.7537884609951497,0.02947368421052632,1.9844035511560778,0.56,active_computation
deepseek-r1-distill-llama-8b,problem_1591,37,101,0.37,1,1,7,0.07,0.9655881158980268,0.030000000000000027,1.277692809837176,0.78,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,38,101,0.38,1,1,6,0.06,1.6946928255116485,-0.020000000000000018,1.6946928255116485,0.30000000000000004,active_computation
deepseek-r1-distill-llama-8b,problem_1591,39,101,0.39,1,1,5,0.05,0.2346572099549698,0.050000000000000044,1.4817167848063189,0.41000000000000003,active_computation
deepseek-r1-distill-llama-8b,problem_1591,40,101,0.4,1,1,4,0.04,0.37888130569305745,-0.06428571428571428,0.26622311990284203,0.36,active_computation
deepseek-r1-distill-llama-8b,problem_1591,41,101,0.41,1,1,3,0.03,1.0820625842157092,0.002577319587628857,1.0471494150068534,0.22999999999999998,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,42,101,0.42,1,1,2,0.02,1.2287476911134136,-0.040000000000000036,2.7396474124231647,0.27,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,43,101,0.43,1,1,1,0.01,0.5358781725935937,0.05022471910112358,0.5179117826033244,0.33999999999999997,active_computation
deepseek-r1-distill-llama-8b,problem_1591,44,101,0.44,1,0,0,0.0,1.723855735472678,-0.042062415196743586,1.4781240688502457,0.62,active_computation
deepseek-r1-distill-llama-8b,problem_1591,45,101,0.45,0,1,7,0.07,2.3261630643934836,-0.17666666666666675,1.5313865351638072,0.8888888888888888,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,46,101,0.46,1,1,6,0.06,0.8634529672007446,-0.003896103896103953,0.855725748671847,0.36,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,47,101,0.47,1,1,5,0.05,0.1096197122186346,0.08999999999999997,0.6585744345364322,0.16000000000000003,active_computation
deepseek-r1-distill-llama-8b,problem_1591,48,101,0.48,1,1,4,0.04,1.6149802108840925,-0.04769230769230759,1.013578663483186,0.29000000000000004,active_computation
deepseek-r1-distill-llama-8b,problem_1591,49,101,0.49,1,1,3,0.03,0.12689702633177963,0.08666666666666667,0.6894521049748807,0.5900000000000001,active_computation
deepseek-r1-distill-llama-8b,problem_1591,50,101,0.5,1,1,2,0.02,1.1207098864373632,0.07878787878787874,1.111405787098435,0.33999999999999997,active_computation
deepseek-r1-distill-llama-8b,problem_1591,51,101,0.51,1,1,1,0.01,0.18998056594469623,-0.03500000000000003,2.4721357469819356,0.5,active_computation
deepseek-r1-distill-llama-8b,problem_1591,52,101,0.52,1,0,0,0.0,0.11060985223465607,0.10999999999999999,0.8341129143415924,0.4,active_computation
deepseek-r1-distill-llama-8b,problem_1591,53,101,0.53,0,0,0,0.0,0.30465783048831885,0.06666666666666665,0.34030617115086415,0.76,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,54,101,0.54,0,2,40,0.4,0.0,0.0,1.0508839452894667,0.74,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,55,101,0.55,1,1,3,0.03,1.927127845539129,-0.16000000000000003,1.4989788074562012,0.43000000000000005,active_computation
deepseek-r1-distill-llama-8b,problem_1591,56,101,0.56,1,1,2,0.02,1.2594936131943721,0.03428571428571425,1.2842915714385454,0.76,active_computation
deepseek-r1-distill-llama-8b,problem_1591,57,101,0.57,1,1,1,0.01,0.8115826359888572,-0.02259259259259261,1.4574492265100287,0.18000000000000005,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,58,101,0.58,1,0,0,0.0,0.5307906175804343,0.047647058823529376,0.46550217168144675,0.45999999999999996,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,59,101,0.59,0,1,3,0.03,0.5398216572139464,-0.04184704184704191,0.4453256580834805,0.43999999999999995,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,60,101,0.6,1,1,2,0.02,0.6934651058982937,0.11435897435897435,1.0524980210478208,0.21212121212121215,active_computation
deepseek-r1-distill-llama-8b,problem_1591,61,101,0.61,1,1,1,0.01,0.9084326396978282,-0.42000000000000004,0.8956976250492086,0.71,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,62,101,0.62,1,0,0,0.0,0.2494110260429669,0.030000000000000027,0.2494110260429669,0.22999999999999998,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,63,101,0.63,0,1,37,0.37,1.4170969937400213,0.012340425531914945,0.7059680336555677,0.6,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,64,101,0.64,1,1,36,0.36,1.499212141494791,-0.08793103448275863,2.2355526219527744,0.54,active_computation
deepseek-r1-distill-llama-8b,problem_1591,65,101,0.65,2,1,35,0.35,0.07765092954097147,0.07999999999999996,0.8594145324684329,0.06999999999999995,active_computation
deepseek-r1-distill-llama-8b,problem_1591,66,101,0.66,1,1,34,0.34,0.08515778040005416,0.07999999999999996,0.29564280101012885,0.95,active_computation
deepseek-r1-distill-llama-8b,problem_1591,67,101,0.67,1,1,33,0.33,0.8669045746534946,0.026666666666666616,0.6625935964161945,0.49,result_consolidation
deepseek-r1-distill-llama-8b,problem_1591,68,101,0.68,1,1,32,0.32,1.0437779731562304,-0.01749999999999996,0.8566565208437529,0.10999999999999999,active_computation
deepseek-r1-distill-llama-8b,problem_1591,69,101,0.69,1,1,31,0.31,0.48570402168413374,-0.0050000000000000044,0.4658511551441952,0.8,active_computation
deepseek-r1-distill-llama-8b,problem_1591,70,101,0.7,1,2,30,0.3,0.07411316483412211,0.014141414141414121,0.28620526252166123,0.91,active_computation
deepseek-r1-distill-llama-8b,problem_1591,71,101,0.71,1,1,29,0.29,1.443681578565397,-0.07141414141414149,1.443681578565397,0.8282828282828283,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,72,101,0.72,1,1,28,0.28,0.6372194510817759,-0.2533333333333334,0.2588756405345043,0.55,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,73,101,0.73,1,1,27,0.27,0.07746203901726392,0.09736842105263155,0.6563134603017419,0.5900000000000001,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,74,101,0.74,1,1,26,0.26,1.267001076163713,-0.014418604651162736,1.0861124208297541,0.14,active_computation
deepseek-r1-distill-llama-8b,problem_1591,75,101,0.75,1,1,25,0.25,1.3431854763721067,-0.07753086419753086,1.0613042255853753,0.29000000000000004,active_computation
deepseek-r1-distill-llama-8b,problem_1591,76,101,0.76,1,1,24,0.24,0.8655036258307486,0.06999999999999995,0.8655036258307486,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,77,101,0.77,1,1,23,0.23,3.8716610826122526,-0.18947368421052635,4.072093785558473,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,78,101,0.78,1,1,22,0.22,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,79,101,0.79,1,1,21,0.21,0.0,0.0,0.0,0.020000000000000018,active_computation
deepseek-r1-distill-llama-8b,problem_1591,80,101,0.8,1,1,20,0.2,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,81,101,0.81,1,1,19,0.19,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,82,101,0.82,1,1,18,0.18,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,83,101,0.83,1,1,17,0.17,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,84,101,0.84,1,1,16,0.16,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,85,101,0.85,1,1,15,0.15,0.0,0.0,0.0,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,86,101,0.86,1,1,14,0.14,0.0,0.0,0.0,0.010000000000000009,active_computation
deepseek-r1-distill-llama-8b,problem_1591,87,101,0.87,1,1,13,0.13,0.0,0.0,0.0,0.16000000000000003,active_computation
deepseek-r1-distill-llama-8b,problem_1591,88,101,0.88,1,1,12,0.12,0.0,0.0,0.0,0.65,active_computation
deepseek-r1-distill-llama-8b,problem_1591,89,101,0.89,1,1,11,0.11,0.0,0.0,0.0,0.87,active_computation
deepseek-r1-distill-llama-8b,problem_1591,90,101,0.9,2,1,10,0.1,0.0,0.0,0.0,0.76,self_checking
deepseek-r1-distill-llama-8b,problem_1591,91,101,0.91,1,1,9,0.09,0.0,0.0,0.0,0.78,self_checking
deepseek-r1-distill-llama-8b,problem_1591,92,101,0.92,1,1,8,0.08,0.0,0.0,0.0,0.79,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,93,101,0.93,1,1,7,0.07,0.0,0.0,0.0,0.65,result_consolidation
deepseek-r1-distill-llama-8b,problem_1591,94,101,0.94,1,1,6,0.06,0.0,0.0,0.0,0.7,self_checking
deepseek-r1-distill-llama-8b,problem_1591,95,101,0.95,1,1,5,0.05,0.0,0.0,0.0,0.29000000000000004,self_checking
deepseek-r1-distill-llama-8b,problem_1591,96,101,0.96,1,1,4,0.04,0.0,0.0,0.0,0.25,self_checking
deepseek-r1-distill-llama-8b,problem_1591,97,101,0.97,1,1,3,0.03,0.0,0.0,0.0,0.08999999999999997,self_checking
deepseek-r1-distill-llama-8b,problem_1591,98,101,0.98,1,1,2,0.02,0.0,0.0,0.0,0.64,self_checking
deepseek-r1-distill-llama-8b,problem_1591,99,101,0.99,1,1,1,0.01,0.0,0.0,0.0,0.7,final_answer_emission
deepseek-r1-distill-llama-8b,problem_1591,100,101,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0,final_answer_emission
deepseek-r1-distill-llama-8b,problem_2050,0,203,0.0,0,2,104,0.5148514851485149,5.023562238588331,-0.040000000000000036,0.49301064849875204,0.6020408163265306,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,1,203,0.0049504950495049506,0,3,118,0.5841584158415841,0.5884773630576189,0.0505050505050505,0.4232133360699024,0.76,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,2,203,0.009900990099009901,2,1,101,0.5,1.0887408072142801,-0.11836734693877549,1.074226120338695,0.4545454545454546,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,3,203,0.01485148514851485,0,0,0,0.0,0.7164581224699959,0.11526315789473685,0.6763720827554999,0.74,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,4,203,0.019801980198019802,0,0,0,0.0,0.7529998390115262,0.015318627450980449,0.63871150770559,0.63,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,5,203,0.024752475247524754,0,0,0,0.0,1.0191854167292802,-0.027210884353741527,1.6431723818121244,0.35416666666666663,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,6,203,0.0297029702970297,0,1,67,0.3316831683168317,0.8904673784501487,-0.06767676767676767,0.6255874723002592,0.030612244897959218,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,7,203,0.034653465346534656,1,1,110,0.5445544554455446,0.6303246089236958,0.0053061224489795444,0.6240969222943581,0.23232323232323238,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,8,203,0.039603960396039604,1,1,109,0.5396039603960396,0.0530397769209904,0.009341764874964076,0.8779150740817823,0.43000000000000005,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,9,203,0.04455445544554455,1,3,108,0.5346534653465347,0.07657461159572446,-0.03779732811990877,0.46691087269843173,0.4591836734693877,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,10,203,0.04950495049504951,2,2,100,0.49504950495049505,0.09092607903285788,0.02323232323232316,0.04541161366713912,0.31313131313131315,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,11,203,0.054455445544554455,1,3,15,0.07425742574257425,0.23278588776701933,0.14242424242424245,0.46957425258767926,0.797979797979798,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,12,203,0.0594059405940594,1,1,1,0.0049504950495049506,0.9385741616615673,-0.0748999428244711,1.3644618190719906,0.6060606060606061,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,13,203,0.06435643564356436,1,0,0,0.0,0.060192842688348756,0.07185185185185183,0.28810977763271545,0.6868686868686869,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,14,203,0.06930693069306931,1,1,84,0.4158415841584158,0.17482616927573225,-0.02604449267498643,0.4512661728725132,0.94,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,15,203,0.07425742574257425,2,1,83,0.41089108910891087,1.9616543637141621,0.03807303807303808,1.3165850993628767,0.6288659793814433,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,16,203,0.07920792079207921,1,7,82,0.40594059405940597,0.7050709936849443,0.019967112990368796,0.2868606470084374,0.46464646464646464,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,17,203,0.08415841584158416,1,0,0,0.0,0.28090231047377967,0.23232323232323238,0.6932873825962966,0.9292929292929293,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,18,203,0.0891089108910891,1,0,0,0.0,0.0,0.0,0.8737924338745162,0.9797979797979798,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,19,203,0.09405940594059406,1,0,0,0.0,0.0,0.0,0.2522724983434385,0.99,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,20,203,0.09900990099009901,1,0,0,0.0,0.0,0.0,0.04545108296870305,0.9381443298969072,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,21,203,0.10396039603960396,1,0,0,0.0,0.0,0.0,1.229869913401106,0.8181818181818181,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,22,203,0.10891089108910891,1,1,76,0.37623762376237624,0.0,0.0,0.44498259169345966,0.9299999999999999,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,23,203,0.11386138613861387,1,1,75,0.3712871287128713,0.13079642162049634,0.02052785923753664,0.6300834931663609,0.31999999999999995,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,24,203,0.1188118811881188,1,1,74,0.36633663366336633,0.06907652347830046,-0.08277108433734937,0.05288533144662791,0.4040404040404041,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,25,203,0.12376237623762376,2,4,73,0.3613861386138614,0.8130498858452028,-0.002645502645502673,0.6708964299309502,0.13,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,26,203,0.12871287128712872,1,1,33,0.16336633663366337,0.29235695672072937,0.08259061200237672,0.25736511977225235,0.5612244897959184,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,27,203,0.13366336633663367,1,1,32,0.15841584158415842,0.0586918811810577,0.07235294117647051,0.4666555101241508,0.6565656565656566,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,28,203,0.13861386138613863,1,5,31,0.15346534653465346,0.0,0.0,0.8665259978757304,0.5900000000000001,active_computation
deepseek-r1-distill-llama-8b,problem_2050,29,203,0.14356435643564355,1,1,1,0.0049504950495049506,0.061723962655918146,0.02813017098731385,0.2761245588441018,0.85,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,30,203,0.1485148514851485,1,0,0,0.0,2.38159076177002,-0.20858585858585854,0.8508313317101973,0.7755102040816326,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,31,203,0.15346534653465346,0,0,0,0.0,0.8179403135071368,0.05810126582278474,0.6607128820910295,0.7272727272727273,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,32,203,0.15841584158415842,0,0,0,0.0,0.7276787429947466,0.029040404040403978,0.6222461576055314,0.38,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,33,203,0.16336633663366337,0,0,0,0.0,0.7928958300607265,-0.09727272727272729,0.8663844166940912,0.12121212121212122,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,34,203,0.16831683168316833,0,0,0,0.0,0.0575391601611505,-0.004273504273504258,0.1273775865090257,0.17000000000000004,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,35,203,0.17326732673267325,0,0,0,0.0,0.2783426884978568,-0.004583333333333384,0.26961248728630993,0.13131313131313127,problem_setup
deepseek-r1-distill-llama-8b,problem_2050,36,203,0.1782178217821782,0,0,0,0.0,0.6651488248490637,0.02659793814432987,0.6469827692575524,0.06999999999999995,uncertainty_management
deepseek-r1-distill-llama-8b,problem_2050,37,203,0.18316831683168316,0,0,0,0.0,0.08500439647782061,-0.059212417361310776,0.08639606877209807,0.33999999999999997,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,38,203,0.18811881188118812,1,1,66,0.32673267326732675,0.5549022839216122,0.02506073392149344,0.645691354901263,0.0714285714285714,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,39,203,0.19306930693069307,1,1,65,0.3217821782178218,0.055081945557260696,0.04548387096774187,0.8636517403805198,0.5151515151515151,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,40,203,0.19801980198019803,1,1,64,0.31683168316831684,0.2391516612568806,-0.03929292929292927,0.2391516612568806,0.13,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,41,203,0.20297029702970298,1,2,63,0.3118811881188119,0.239627128682145,0.025691699604743157,0.20703014845510642,0.5454545454545454,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,42,203,0.2079207920792079,1,2,41,0.20297029702970298,0.04306856509137972,-0.020000000000000018,0.2554073222491955,0.202020202020202,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,43,203,0.21287128712871287,1,1,3,0.01485148514851485,0.06411611762524251,-0.007037037037037064,1.0567894007399259,0.37,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,44,203,0.21782178217821782,1,1,2,0.009900990099009901,0.015045942600570857,0.013333333333333308,0.4034791942662539,0.56,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,45,203,0.22277227722772278,1,1,1,0.0049504950495049506,0.06043359419164669,-0.02626262626262621,0.043117096469431265,0.33999999999999997,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,46,203,0.22772277227722773,1,0,0,0.0,0.05264371052805378,0.06000000000000005,0.4207581400013767,0.8484848484848485,active_computation
deepseek-r1-distill-llama-8b,problem_2050,47,203,0.23267326732673269,0,0,0,0.0,0.4887235403029578,0.0031818181818182856,0.4130034918436832,0.72,uncertainty_management
deepseek-r1-distill-llama-8b,problem_2050,48,203,0.2376237623762376,0,0,0,0.0,0.017891846043425908,-0.02347826086956517,0.24853221935077977,0.9,uncertainty_management
deepseek-r1-distill-llama-8b,problem_2050,49,203,0.24257425742574257,1,1,36,0.1782178217821782,0.009255403161350432,-0.0013636363636363447,0.19728333454604008,0.6,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,50,203,0.24752475247524752,1,2,35,0.17326732673267325,0.04762804739641029,0.0714285714285714,0.04529743795355638,0.38,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,51,203,0.2524752475247525,1,1,34,0.16831683168316833,0.16740951432911355,-0.13131313131313127,0.2339333796841102,0.7040816326530612,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,52,203,0.25742574257425743,2,5,33,0.16336633663366337,0.044951384350024735,0.030000000000000027,0.3988726517101273,0.3737373737373737,active_computation
deepseek-r1-distill-llama-8b,problem_2050,53,203,0.2623762376237624,1,0,0,0.0,0.03581352118177223,-0.005337519623233811,0.022434955855798258,0.76,self_checking
deepseek-r1-distill-llama-8b,problem_2050,54,203,0.26732673267326734,1,1,24,0.1188118811881188,0.04987182404131184,0.050000000000000044,0.41883045278832964,0.8061224489795918,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,55,203,0.2722772277227723,1,1,23,0.11386138613861387,0.058683490919968995,0.06000000000000005,0.021560286346080922,0.84,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,56,203,0.27722772277227725,1,1,22,0.10891089108910891,0.3238704725896323,-0.03422282526760134,0.394467798529466,0.33999999999999997,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,57,203,0.28217821782178215,1,1,21,0.10396039603960396,0.04396312030102962,0.040000000000000036,2.118809127862851e-06,0.2828282828282829,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,58,203,0.2871287128712871,1,1,20,0.09900990099009901,0.02040885394334318,0.0,0.8226998878192171,0.78,active_computation
deepseek-r1-distill-llama-8b,problem_2050,59,203,0.29207920792079206,1,1,58,0.2871287128712871,0.04839654055413254,0.06000000000000005,0.061875403491680185,0.72,plan_generation
deepseek-r1-distill-llama-8b,problem_2050,60,203,0.297029702970297,1,2,57,0.28217821782178215,0.006976930838055751,-0.01571428571428568,0.06833323329577573,0.77,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,61,203,0.30198019801980197,1,1,53,0.2623762376237624,0.2558991668696628,-0.0019047619047618536,0.19728333454604008,0.61,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,62,203,0.3069306930693069,1,1,52,0.25742574257425743,0.01025648847466075,0.010101010101010055,0.20723317026912447,0.27,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,63,203,0.3118811881188119,0,0,0,0.0,0.28970876902200826,-0.0038888888888888307,0.2093264311448628,0.23232323232323238,uncertainty_management
deepseek-r1-distill-llama-8b,problem_2050,64,203,0.31683168316831684,1,1,51,0.2524752475247525,0.22415504300534642,-0.011235955056179803,0.1972828260877841,0.44999999999999996,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,65,203,0.3217821782178218,1,1,50,0.24752475247524752,0.007168489132037466,0.010101010101010055,0.010152371256581246,0.44999999999999996,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,66,203,0.32673267326732675,1,3,49,0.24257425742574257,0.9469702982805782,-0.04347826086956519,0.19937761404697535,0.6464646464646464,fact_retrieval
deepseek-r1-distill-llama-8b,problem_2050,67,203,0.3316831683168317,1,1,3,0.01485148514851485,0.0,0.0,0.0,0.71,fact_retrieval
